id,lat,lng
1,31.032155581535157,121.44848968366189
2,31.031985032600733,121.4485558312185
3,31.031851870462773,121.44864524997192
4,31.03166490620715,121.44876278291987
5,31.031481365601078,121.4488877734919
6,31.031336458329424,121.4490199908484
7,31.031165135232328,121.4492642537253
8,31.031035799506057,121.44955435677669
9,31.03103707175682,121.44982424701902
10,31.031157622471856,121.44998608699947
11,31.03127373533123,121.45015912537175
12,31.031401197907268,121.45030615127094
13,31.031470727192133,121.45034431918712
14,31.031491169656686,121.45028017887692
15,31.031462969837648,121.45010785636856
16,31.03141450212786,121.44993833845615
17,31.031394390871622,121.44978704818553
18,31.03147561224624,121.44977803492078
19,31.03158064454115,121.449875155172
20,31.031686911032637,121.44997355840276
21,31.031754676579517,121.44992611339781
22,31.03176576345807,121.44980041837503
23,31.031752072960433,121.44966157957934
24,31.031704942143435,121.44948195351816
25,31.031712607073008,121.44933712815732
26,31.031749491459248,121.44920806235481
27,31.031865622371907,121.44919066268645
28,31.03199105077264,121.44924317261392
29,31.032143833750226,121.4492244423156
30,31.032018422831893,121.44910554479368
31,31.032016939613044,121.44896619856439
32,31.03200205267664,121.44882164140307
33,31.032092371429133,121.44869650343917
34,31.032019100774257,121.44859435058189
35,31.031995812169054,121.44855330827787
